2019-05-29 19:00:22,"RT @jeffhiseredu: “Change is a given; how you respond is within your control.” 

#edchat #leadupchat #joyfulleaders

 https://t.co/MT37QwF7…"
2019-05-29 19:00:21,"The decision allows schools to move forward with policies that support #transgender students, an @ACLU attorney said @The74 https://t.co/ZBmcoByquU #edchat #LGBTQ #civilrights"
2019-05-29 19:00:20,Slow clap this all day long! #relationshipswithstudents is the MOST IMPORTANT key to your success as a teacher! @SteeleThoughts #buildrelationships #KidsDeserveIt #edchat https://t.co/FsK2eX6LLt
2019-05-29 19:00:06,Members get complete access to our whole-school #metacognition &amp; #learning-power resources! Join today! https://t.co/SJfpnd5j7u #ukedchat #sltchat #edchat #teachers #pedagogy #growthmindset #wholeschool #NQTchat #Tes #k12 #lessonplan #lessonplans #literacy https://t.co/4E4FInliMo
2019-05-29 19:00:03,"Yesterdays top 3 convos: #SCOTUS, #edchat, #freechat check them out now @ https://t.co/dQAR3c8LaQ"
2019-05-29 19:00:00,"#SupremeLaw is for any teacher looking to bring energy to their civics, politics or history class, or those who are seeking to enhance student understanding of the rich perspectives that make up our diverse country → https://t.co/VqP4zoiOc2 #edchat #elearning"
2019-05-29 18:59:17,"Refugee Week 2019 – 17 to 23 Jun 19 #citizenship #culture #CurrentAffairs #news #RefugeeWeek2019 https://t.co/pXvTBuPk8L #edchat, #edtech"
2019-05-29 18:59:13,Please to join @s3strategies today at #NCISDPowerUp — a refresher on formative assessment FOR learning in the social studies classroom! #NCISD #EdChat https://t.co/9kemUJFc8Z
2019-05-29 18:58:57,Starting in 2 minutes! Character animation for elementary / primary students: https://t.co/nuCoumBSv9 #CreateEdu @AdobeForEdu #edchat #edtech #ntchat #steam #k12 #elemchat
2019-05-29 18:58:44,RT @kathleenodean: In case you  missed it over the holiday weekend: Here's my newest BOOK GIVEAWAY for #teachers and #librarians. Follow &amp;…
2019-05-29 18:57:59,"RT @PBLWorks: .@johnlPBL is writing an ""end of school year"" collection of success stories! If you'd like to be included, email him a paragr…"
